Energy_Value,Month,Year,Date,Time,Day
5102980.5,12,2022,13,12:33:42,Tuesday
5103799,12,2022,13,15:07:57,Tuesday
5104085,12,2022,13,16:00:07,Tuesday
5104383,12,2022,13,17:00:07,Tuesday
5104698,12,2022,13,18:00:06,Tuesday
5105039.5,12,2022,13,19:00:06,Tuesday
5105349.5,12,2022,13,20:00:06,Tuesday
5105654,12,2022,13,21:00:06,Tuesday
5105952.5,12,2022,13,22:00:06,Tuesday
5106231.5,12,2022,13,23:00:06,Tuesday
5106506,12,2022,14,00:00:06,Wednesday
5106727,12,2022,14,01:00:06,Wednesday
5106853.5,12,2022,14,02:00:08,Wednesday
5107032,12,2022,14,03:00:08,Wednesday
5107200.5,12,2022,14,04:00:08,Wednesday
5107370,12,2022,14,05:00:08,Wednesday
5107508.5,12,2022,14,06:00:08,Wednesday
5107599.5,12,2022,14,07:00:08,Wednesday
5107763.5,12,2022,14,08:00:08,Wednesday
5107939.5,12,2022,14,09:00:08,Wednesday
5108182.5,12,2022,14,10:00:07,Wednesday
5108478.5,12,2022,14,11:00:07,Wednesday
5108810,12,2022,14,12:00:07,Wednesday
5109134.5,12,2022,14,13:00:00,Wednesday
5109435.5,12,2022,14,14:00:07,Wednesday
5109752.5,12,2022,14,15:00:07,Wednesday
5110073,12,2022,14,16:00:07,Wednesday
5110379.5,12,2022,14,17:00:07,Wednesday
5110676,12,2022,14,18:00:07,Wednesday
5110920.5,12,2022,14,19:00:06,Wednesday
5111121,12,2022,14,20:00:06,Wednesday
5111326,12,2022,14,21:00:06,Wednesday
5111545,12,2022,14,22:00:06,Wednesday
5111761.5,12,2022,14,23:00:06,Wednesday
5112008,12,2022,15,00:00:07,Thursday
5112234,12,2022,15,01:00:07,Thursday
5112363,12,2022,15,02:00:07,Thursday
5112530.5,12,2022,15,03:00:07,Thursday
5112693,12,2022,15,04:00:07,Thursday
5112850.5,12,2022,15,05:00:07,Thursday
5113006,12,2022,15,06:00:06,Thursday
5113150,12,2022,15,07:00:06,Thursday
5113240.5,12,2022,15,08:00:06,Thursday
5113291.5,12,2022,15,09:05:06,Thursday
5113457,12,2022,15,10:00:06,Thursday
5113729.5,12,2022,15,11:00:06,Thursday
5113995,12,2022,15,12:00:06,Thursday
5114252,12,2022,15,13:00:06,Thursday
5114497,12,2022,15,14:00:06,Thursday
5114769.5,12,2022,15,15:00:06,Thursday
5115020.5,12,2022,15,16:00:02,Thursday
5115348,12,2022,15,17:00:03,Thursday
5115680.5,12,2022,15,18:00:03,Thursday
5115992,12,2022,15,19:00:03,Thursday
5116259,12,2022,15,20:00:03,Thursday
5116489,12,2022,15,21:00:03,Thursday
5116716,12,2022,15,22:00:02,Thursday
5116919,12,2022,15,23:00:02,Thursday
5117098.5,12,2022,16,00:00:07,Friday
5117273,12,2022,16,01:00:00,Friday
5117376.5,12,2022,16,02:00:00,Friday
5117464,12,2022,16,03:00:00,Friday
5117539,12,2022,16,04:00:00,Friday
5117597,12,2022,16,05:00:03,Friday
5117666.5,12,2022,16,06:00:03,Friday
5117802.5,12,2022,16,07:00:03,Friday
5117999.5,12,2022,16,08:00:02,Friday
5118208,12,2022,16,09:00:02,Friday
5118516.5,12,2022,16,10:00:17,Friday
5118848,12,2022,16,11:00:04,Friday
5119192,12,2022,16,12:00:04,Friday
5119515,12,2022,16,13:00:04,Friday
5119824,12,2022,16,14:00:04,Friday
5120151,12,2022,16,15:00:03,Friday
5120490,12,2022,16,16:00:03,Friday
5120830,12,2022,16,17:00:03,Friday
5121173.5,12,2022,16,18:00:03,Friday
5121494,12,2022,16,19:00:03,Friday
5121800.5,12,2022,16,20:00:03,Friday
5122077,12,2022,16,21:00:03,Friday
5122380,12,2022,16,22:00:03,Friday
5122671,12,2022,16,23:00:03,Friday
5122943,12,2022,17,00:00:02,Saturday
5123216.5,12,2022,17,01:00:02,Saturday
5123407,12,2022,17,02:00:02,Saturday
5123611.5,12,2022,17,03:00:02,Saturday
5123801.5,12,2022,17,04:00:02,Saturday
5123967.5,12,2022,17,05:00:02,Saturday
5124127.5,12,2022,17,06:00:02,Saturday
